Nom;E;N;type;Lng;Lat
PI;419357.02;5413112.19;point;1.9003980;48.8657258
LIMA-D;419345.32;5413164.69;ligne;1.9002282;48.8661964
LIMA-D;419283.14;5412718.47;ligne;1.8994685;48.8621750
LIMA-1;419115.23;5413232.66;ligne;1.8970780;48.8667778
LIMA-1;418937.45;5412945.33;ligne;1.8947112;48.8641703
LIMA-1;418863.07;5412839.89;ligne;1.8937181;48.8632122
LIMA-1;418868.10;5412773.26;ligne;1.8937999;48.8626136
LIMA-1;418869.68;5412578.57;ligne;1.8938600;48.8608627
LIMA-2;418730.00;5412599.30;ligne;1.8919519;48.8610309
LIMA-2;418664.29;5412643.58;ligne;1.8910473;48.8614206
LIMA-2;418609.97;5412716.93;ligne;1.8902923;48.8620732
LIMA-2;418568.34;5412885.09;ligne;1.8896913;48.8635801
LIMA-2;418596.24;5413057.00;ligne;1.8900375;48.8651300
LIMA-2;418693.31;5413438.73;ligne;1.8912849;48.8685761
LIMA-3;418635.01;5413457.09;ligne;1.8904865;48.8687335
LIMA-3;418163.47;5412983.28;ligne;1.8841525;48.8644100
LIMITE NORD DU FUSEAU;419400.69;5413121.89;ligne;1.9009915;48.8658187
LIMITE NORD DU FUSEAU;418405.61;5413457.96;ligne;1.8873587;48.8687112
LIMITE SUD DU FUSEAU;418162.84;5413125.28;ligne;1.8841155;48.8656871
LIMITE SUD DU FUSEAU;418318.02;5412533.21;ligne;1.8863492;48.8603824
LIMITE SUD DU FUSEAU;418869.14;5412644.80;ligne;1.8938395;48.8614584
LIMITE SUD DU FUSEAU;418868.10;5412773.26;ligne;1.8937999;48.8626136
LIMITE SUD DU FUSEAU;419347.99;5412774.09;ligne;1.9003416;48.8626837
RFA;418207.32;5412950.95;zone;1.8847567;48.8641250
RFA;418307.44;5412994.73;zone;1.8861128;48.8645320
RFA;418393.67;5412756.55;zone;1.8873358;48.8624011
RFA;418274.78;5412694.04;zone;1.8857276;48.8618232
ROZ;418405.61;5413457.96;zone;1.8873587;48.8687112
ROZ;418674.20;5413363.59;zone;1.8910393;48.8678977
ROZ;418613.79;5413126.01;zone;1.8902630;48.8657530
ROZ;418403.36;5413277.03;zone;1.8873641;48.8670836
ZC;418628.58;5412916.95;zone;1.8905062;48.8638746
ZC;418628.56;5412884.13;zone;1.8905125;48.8635794
ZC;418576.59;5412884.15;zone;1.8898040;48.8635728
ZC;418558.95;5412887.99;zone;1.8895628;48.8636050
ZC;418484.81;5412861.33;zone;1.8885574;48.8633555
ZC;418462.95;5412895.41;zone;1.8882526;48.8636591
ZC;418547.03;5412948.83;zone;1.8893881;48.8641506
T101;418974.56;5412983.11;point;1.8952096;48.8645150
T102;419102.66;5413087.26;point;1.8969353;48.8654684
T103;419069.38;5412920.94;point;1.8965145;48.8639682
T104;419228.62;5413094.63;point;1.8986511;48.8655511
T105;419225.90;5412882.00;point;1.8986559;48.8636383
T106;419149.42;5412939.55;point;1.8976020;48.8641460
T107;419003.80;5412869.05;point;1.8956308;48.8634929
T201;418777.32;5413184.07;point;1.8924808;48.8662966
T202;418790.61;5413090.10;point;1.8926807;48.8654532
T203;418998.31;5413073.13;point;1.8955156;48.8653277
T204;418887.36;5413032.68;point;1.8940110;48.8649494
T205;418814.18;5412979.51;point;1.8930239;48.8644616
T206;418734.83;5412878.01;point;1.8919624;48.8635383
T207;418632.87;5412882.95;point;1.8905714;48.8635694
T208;418791.14;5412731.33;point;1.8927591;48.8622264
T301;418519.45;5412828.98;point;1.8890360;48.8630691
T302;418379.12;5412687.44;point;1.8871513;48.8617776
T303;418415.25;5412767.86;point;1.8876278;48.8625056
T304;418399.19;5413029.54;point;1.8873567;48.8648571
T305;418372.59;5412984.16;point;1.8870031;48.8644455
T401;418210.31;5413195.01;point;1.8847487;48.8663205
O1;418474.24;5412948.14;point;1.8883960;48.8641349
ZT;419346.73;5413114.60;zone;1.9002573;48.8657461
ZT;419309.13;5413121.31;zone;1.8997434;48.8658016
ZT;419341.91;5413196.47;zone;1.9001754;48.8664818
ZT;419399.48;5413171.58;zone;1.9009652;48.8662654
PC;418079.88;5411382.35;point;1.8833333;48.8500000
